Zip,Median,Mean,Pop,zipcode,count
130,11208,"33,876","44,515","84,692",11208,15934
131,10009,"56,615","78,138","56,975",10009,5301
132,11209,"56,907","78,505","69,646",11209,6066
133,10010,"93,702","1,37,106","27,322",10010,7850
134,11210,"55,001","69,162","67,349",11210,5187
135,10011,"92,359","1,60,937","45,899",10011,7239
136,11211,"37,632","52,061","84,434",11211,4418
137,11411,"69,132","79,342","17,909",11411,1659
138,10012,"81,317","1,35,999","26,464",10012,5416
139,11212,"27,911","37,846","85,400",11212,17373
140,11412,"67,396","77,264","36,433",11412,3557
141,10013,"69,836","1,37,738","24,723",10013,8724
142,11213,"35,085","46,614","65,932",11213,9160
143,11413,"77,058","84,085","39,571",11413,3549
144,10014,"98,450","1,62,205","32,867",10014,4689
145,11214,"35,964","48,902","78,896",11214,6130
146,11414,"70,965","84,306","28,120",11414,1839
147,11215,"81,331","1,09,384","59,307",11215,4999
148,11415,"55,983","70,069","19,423",11415,1084
149,10016,"96,760","1,44,872","49,904",10016,5187
150,11216,"37,290","52,038","55,021",11216,12205
151,11416,"46,713","58,914","21,053",11416,2616
152,10017,"1,02,524","1,49,724","16,231",10017,2400
153,11217,"72,611","1,02,950","35,641",11217,4455
154,11417,"56,103","66,183","28,748",11417,2937
155,10018,"84,799","1,12,292","4,255",10018,3226
156,11218,"48,011","61,312","75,418",11218,4277
157,11418,"57,063","66,712","36,587",11418,3350
158,10019,"84,786","1,33,175","39,048",10019,5486
159,11219,"34,970","50,737","85,825",11219,4911
160,11419,"49,705","59,642","44,065",11419,4233
161,10020,"1,13,846","1,47,680",1,10020,3948
162,11020,"1,17,295","1,66,437","5,733",11020,45
163,11220,"37,030","50,271","92,398",11220,7897
164,11420,"55,056","66,551","41,750",11420,4564
165,10021,"1,13,800","1,98,530","44,173",10021,1996
166,11021,"1,00,154","1,50,972","17,512",11021,8
167,11221,"34,005","46,670","75,020",11221,12385
168,11421,"55,094","66,525","37,664",11421,3338
169,10022,"93,107","1,58,965","26,460",10022,5392
170,11222,"54,367","69,809","40,003",11222,4814
171,11422,"68,823","76,689","26,308",11422,2402
172,10023,"1,08,286","1,94,366","59,002",10023,5980
173,11223,"39,421","53,996","74,659",11223,5034
174,11423,"64,756","79,561","31,575",11423,3379
175,10024,"1,10,999","1,91,408","61,485",10024,5396
176,11224,"34,958","45,363","49,491",11224,6604
177,10025,"65,001","1,12,009","96,117",10025,8088
178,11225,"39,782","52,485","61,858",11225,9234
179,10026,"31,542","50,332","25,925",10026,5843
180,11226,"38,763","49,673","1,06,461",11226,13988
181,11426,"74,452","87,041","17,445",11426,1044
182,10027,"38,550","57,767","57,049",10027,12967
183,11427,"57,224","67,494","21,275",11427,1056
184,10028,"1,05,456","1,92,258","40,914",10028,2465
185,11228,"55,200","73,658","40,169",11228,2945
186,11428,"71,127","85,684","20,923",11428,1280
187,10029,"32,877","56,937","76,271",10029,11880
188,11229,"49,911","63,752","80,407",11229,6566
189,11429,"72,714","82,273","27,816",11429,2165
190,10030,"28,525","51,241","26,058",10030,6058
191,11230,"47,496","64,348","88,449",11230,4937
192,11430,"50,483","54,620",197,11430,209
