,date,count, value
861,2013-10-01,1379,15191.7
862,2015-05-05,1441,17928.2
863,2015-08-11,2075,17402.84
864,2011-02-07,1908,12161.63
865,2013-09-04,1400,14930.87
866,2013-10-02,1023,15133.14
867,2015-05-06,1521,17841.98
868,2015-08-12,1286,17402.51
869,2011-02-08,1827,12233.15
870,2013-09-05,1354,14937.48
871,2013-10-03,1168,14996.48
872,2015-05-07,1411,17924.06
873,2011-02-09,1507,12239.89
874,2012-03-12,1477,12959.71
875,2013-09-06,1330,14922.5
876,2013-10-04,1452,15072.58
877,2015-05-08,1670,18191.11
878,2015-04-01,917,17698.18
879,2011-01-03,1660,11670.75
880,2013-09-09,1316,15063.12
881,2013-10-07,3176,14936.24
882,2015-04-02,1208,17763.24
883,2011-01-04,1687,11691.18
884,2013-08-01,3399,15628.02
885,2013-10-08,1554,14776.53
886,2011-01-05,1435,11722.89
887,2011-04-11,1785,12381.11
888,2013-08-02,1539,15658.36
889,2013-10-09,1515,14802.98
890,2015-07-10,1613,17760.41
891,2011-01-06,1896,11697.31
892,2011-04-12,2042,12263.58
893,2011-01-07,3180,11674.76
894,2012-02-10,1614,12801.23
895,2015-04-06,1349,17880.85
896,2013-08-05,1335,15612.13
897,2015-04-07,1811,17875.42
