Zip,Median,Mean,Pop,zipcode,count
160,11419,49705,59642,44065,11419,4233
161,10020,113846,147680,1,10020,3948
162,11020,117295,166437,5733,11020,45
163,11220,37030,50271,92398,11220,7897
164,11420,55056,66551,41750,11420,4564
165,10021,113800,198530,44173,10021,1996
166,11021,100154,150972,17512,11021,8
167,11221,34005,46670,75020,11221,12385
168,11421,55094,66525,37664,11421,3338
169,10022,93107,158965,26460,10022,5392
170,11222,54367,69809,40003,11222,4814
171,11422,68823,76689,26308,11422,2402
172,10023,108286,194366,59002,10023,5980
173,11223,39421,53996,74659,11223,5034
174,11423,64756,79561,31575,11423,3379
175,10024,110999,191408,61485,10024,5396
176,11224,34958,45363,49491,11224,6604
177,10025,65001,112009,96117,10025,8088
178,11225,39782,52485,61858,11225,9234
179,10026,31542,50332,25925,10026,5843
180,11226,38763,49673,106461,11226,13988
181,11426,74452,87041,17445,11426,1044
182,10027,38550,57767,57049,10027,12967
183,11427,57224,67494,21275,11427,1056
184,10028,105456,192258,40914,10028,2465
185,11228,55200,73658,40169,11228,2945
186,11428,71127,85684,20923,11428,1280
187,10029,32877,56937,76271,10029,11880
188,11229,49911,63752,80407,11229,6566
189,11429,72714,82273,27816,11429,2165
190,10030,28525,51241,26058,10030,6058
191,11230,47496,64348,88449,11230,4937
192,11430,50483,54620,197,11430,209
